Year,Month,Carrier,Carrier_Name,Arrival Flights,Delays,Employees,Passengers,Delays_Over_Flights,Employees_Over_Flights,Passengers_Over_Flights
2016,5,9E,Endeavor,0,0,0,0,0,0,0
2016,5,AA,American_Airlines,78678,4246,104484,12614397,0.053966801,1.327995119,160.3294059
2016,5,AS,Alaska_Airlines,15385,404,11847,2083897,0.026259344,0.770035749,135.4499188
2016,5,B6,JetBlue_Airways,24240,1614,18145,3242528,0.066584158,0.748556106,133.7676568
2016,5,DL,Delta_Air_Lines,80556,3342,85799,12721839,0.041486668,1.065085158,157.9254059
2016,5,F9,Frontier_Airlines,7920,347,3075,1212967,0.043813131,0.388257576,153.152399
2016,5,G4,Allegiant_Air,0,0,0,0,0,0,0
2016,5,HA,Hawaiian_Airlines,6432,255,5891,900987,0.039645522,0.915889303,140.0788246
2016,5,MQ,Envoy_Air,0,0,0,0,0,0,0
2016,5,NK,Spirit_Air_Lines,11992,623,5431,1684236,0.051951301,0.452885257,140.4466311
2016,5,OH,PSA_Airlines,0,0,0,0,0,0,0
